Model,Rank,CV_F1,CV_Std,Config
XGBoost,72,0.8196762568188947,0.02465578280419201,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,73,0.819532046541348,0.01545315790000926,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,19,0.8195124936063751,0.021482602825729828,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 20, 'n_estimators': 150}"
XGBoost,74,0.819264754465592,0.027201721466211488,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,20,0.819190967201348,0.017536986440534506,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}"
RandomForest,21,0.8191400418234739,0.0289936236763146,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 20, 'n_estimators': 200}"
RandomForest,22,0.8190625442284585,0.027525574678272824,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 15, 'n_estimators': 100}"
XGBoost,75,0.8189381182301052,0.026168906128698346,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,23,0.8188359468348863,0.029537732390129415,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 15, 'n_estimators': 100}"
RandomForest,24,0.8186858658313658,0.033959917902013845,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 15, 'n_estimators': 200}"
XGBoost,76,0.8186100556379408,0.025144323540560412,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,77,0.8185595446389599,0.02197885670280724,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,25,0.8181411679681396,0.02644195290171331,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 15, 'n_estimators': 250}"
XGBoost,78,0.8181006473205799,0.016115568370112854,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,79,0.8180073859313121,0.02969858637837128,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,26,0.8179157488087974,0.026363143525707518,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 20, 'n_estimators': 250}"
XGBoost,80,0.8179145121733142,0.01834597791298348,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,81,0.8179014184607624,0.0183671694472331,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,27,0.8178786287133206,0.026226481353760395,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 20, 'n_estimators': 200}"
XGBoost,82,0.8176217357397114,0.019784486387184212,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,83,0.8176212546396636,0.016775803455085492,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,28,0.8176175599512119,0.01928566444887464,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest,29,0.8175214603923386,0.027787013591677397,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 20, 'n_estimators': 250}"
RandomForest,30,0.8174739892092457,0.018894109373794248,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 15, 'n_estimators': 150}"
XGBoost,84,0.8172516889638874,0.02108517923043016,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,31,0.817224444474415,0.024744422313122676,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 100}"
RandomForest,32,0.8171719771912732,0.025146377175562472,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}"
RandomForest,33,0.81690027864071,0.02629741387489829,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 250}"
XGBoost,85,0.8167017862471113,0.03196587010661901,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,86,0.8166369010926259,0.01906875970995427,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,87,0.8162290672488407,0.026767183771287083,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,88,0.816175014676203,0.013545040780203845,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,89,0.8161460938193731,0.022758619972019875,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,34,0.815986857750109,0.026944573916002457,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 15, 'n_estimators': 200}"
XGBoost,90,0.8159553737876785,0.021215349984574427,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,91,0.8157927804953806,0.0189947305845445,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,35,0.8155641263967268,0.024228179460774848,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 15, 'n_estimators': 250}"
XGBoost,92,0.8155629115982098,0.017503492796132954,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,36,0.8155429073463607,0.022125581013502416,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
RandomForest,37,0.8154878067116279,0.026207649133847415,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 150}"
XGBoost,93,0.8154134316824313,0.02246703780410695,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,94,0.815266228083475,0.01873216343171395,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,95,0.8152069030736022,0.024594650605131347,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,38,0.8150670257344844,0.02264739704673867,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}"
RandomForest,39,0.8148734602267315,0.027652466678978336,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 15, 'n_estimators': 100}"
RandomForest,40,0.8148691903766114,0.022805831641366063,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 15, 'n_estimators': 200}"
XGBoost,96,0.8148556444053847,0.020713873984828438,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
